模块,权重,整改前_功能闭环_5,整改前_数据一致性_5,整改前_权限边界_5,整改前_失败恢复_5,整改前_可维护与验证_5,整改前模块均分_5,第一阶段历史暂评模块均分_5,第二阶段工程_功能闭环_5,第二阶段工程_数据一致性_5,第二阶段工程_权限边界_5,第二阶段工程_失败恢复_5,第二阶段工程_可维护与验证_5,第二阶段工程模块均分_5,工程目标_5,评分状态,评分口径,已交付支持范围,五维共同查证规则,专项证据,统一门禁状态,实机系统评分_5,用户待验范围
技能中心,2,2.5,2.5,3,3,3,2.80,3.88,,,,,,,4.9,草稿：最终统一门禁尚未验证，不赋工程分或实机分,仅代码与隔离自动化交付；真实环境另评分,GitHub固定40位提交SHA的ZIP内SKILL.md prompt导入、静态检查/批准/发布/CAS及调用；导入正文，支持脚本不安装,每维分别核对需求/实现/异常反例/正式回归/可追溯证据；未关闭硬阻断不得进入4.9；不得用平均分抵消单点缺陷,implementation/phase2-extensions.md,待同一源码六组回执与逐模块复核,,实际来源下载与技能使用效果
插件与能力包中心,2,2,1.5,1,2,2.5,1.80,3.04,,,,,,,4.9,草稿：最终统一门禁尚未验证，不赋工程分或实机分,仅代码与隔离自动化交付；真实环境另评分,已实现的内置能力和能力包；服务端依赖所有权/恢复；不新增任意TS/npm插件平台,每维分别核对需求/实现/异常反例/正式回归/可追溯证据；未关闭硬阻断不得进入4.9；不得用平均分抵消单点缺陷,implementation/phase2-extensions.md,待同一源码六组回执与逐模块复核,,真实组合环境下安装/停用与用户业务效果
MCP,2,2.5,1.5,1.5,2.5,3,2.20,3.56,,,,,,,4.9,草稿：最终统一门禁尚未验证，不赋工程分或实机分,仅代码与隔离自动化交付；真实环境另评分,既有HTTPS GET工具协议（非标准Streamable HTTP）及stdio；凭据目标绑定、租约、pin和精确启动版本锁,每维分别核对需求/实现/异常反例/正式回归/可追溯证据；未关闭硬阻断不得进入4.9；不得用平均分抵消单点缺陷,implementation/phase2-extensions.md,待同一源码六组回执与逐模块复核,,被支持的真实服务器、凭据轮换、网络故障与供应链现场验证
专家中心,2,3,2,2.5,2,3,2.50,3.64,,,,,,,4.9,草稿：最终统一门禁尚未验证，不赋工程分或实机分,仅代码与隔离自动化交付；真实环境另评分,正文/版本/装备快照一致，知识源与当前引用受控,每维分别核对需求/实现/异常反例/正式回归/可追溯证据；未关闭硬阻断不得进入4.9；不得用平均分抵消单点缺陷,implementation/phase2-extensions.md,待同一源码六组回执与逐模块复核,,专家业务输出质量；外部材料正确性
资产管理,1,3.5,1.7,3,2,2.6,2.56,3.82,,,,,,,4.9,草稿：最终统一门禁尚未验证，不赋工程分或实机分,仅代码与隔离自动化交付；真实环境另评分,有界上传/分片、请求幂等、组织分页和引用对账；资产文件10MiB,每维分别核对需求/实现/异常反例/正式回归/可追溯证据；未关闭硬阻断不得进入4.9；不得用平均分抵消单点缺陷,implementation/phase2-projects.md,待同一源码六组回执与逐模块复核,,真实文件工作流、磁盘容量和备份外部介质
后台设置与模型配置,1,4,3,2.5,3.3,3.7,3.30,3.30,,,,,,,4.9,草稿：最终统一门禁尚未验证，不赋工程分或实机分,仅代码与隔离自动化交付；真实环境另评分,持久版本CAS、草稿冲突、已保存与实际生效状态；诊断区分配置和可用,每维分别核对需求/实现/异常反例/正式回归/可追溯证据；未关闭硬阻断不得进入4.9；不得用平均分抵消单点缺陷,implementation/phase2-system.md；implementation/phase2-browser-execution.md,待同一源码六组回执与逐模块复核,,实际模型服务配置、系统设备/凭据实际可用性
外部数据库连接,1,3.5,3,1.5,3,3,2.80,3.18,,,,,,,4.9,草稿：最终统一门禁尚未验证，不赋工程分或实机分,仅代码与隔离自动化交付；真实环境另评分,MySQL/PostgreSQL现有连接；默认只读；显式本机写审批/幂等/unknown,每维分别核对需求/实现/异常反例/正式回归/可追溯证据；未关闭硬阻断不得进入4.9；不得用平均分抵消单点缺陷,implementation/phase2-system.md,待同一源码六组回执与逐模块复核,,专用真实数据库、实际网络权限和管理员确认的写动作
专家知识与资料查新,1,2.5,1.5,2,2,2.5,2.10,3.60,,,,,,,4.9,草稿：最终统一门禁尚未验证，不赋工程分或实机分,仅代码与隔离自动化交付；真实环境另评分,本地普通文本/Markdown/PDF/Office；32MiB、2M字符、10s/512MiB解析；源摘要/分页/主动刷新,每维分别核对需求/实现/异常反例/正式回归/可追溯证据；未关闭硬阻断不得进入4.9；不得用平均分抵消单点缺陷,implementation/phase2-knowledge.md,待同一源码六组回执与逐模块复核,,实际文件语义、扫描件需另行OCR；不新增URL抓取或网络共享导入
个人记忆与召回,1,3.5,3.2,3.3,2.8,3.2,3.20,3.20,,,,,,,4.9,草稿：最终统一门禁尚未验证，不赋工程分或实机分,仅代码与隔离自动化交付；真实环境另评分,主体/项目记忆隔离、到期清理、确认来源身份与设置CAS,每维分别核对需求/实现/异常反例/正式回归/可追溯证据；未关闭硬阻断不得进入4.9；不得用平均分抵消单点缺陷,implementation/phase2-system.md,待同一源码六组回执与逐模块复核,,实际偏好是否合适、生成内容的业务事实核对
命令与人工终端,1,3.8,2.8,3,2,2.9,2.90,3.26,,,,,,,4.9,草稿：最终统一门禁尚未验证，不赋工程分或实机分,仅代码与隔离自动化交付；真实环境另评分,有界命令/终端执行、明确参数、Job进程树回收；Job不是安全沙箱,每维分别核对需求/实现/异常反例/正式回归/可追溯证据；未关闭硬阻断不得进入4.9；不得用平均分抵消单点缺陷,implementation/phase2-browser-execution.md,待同一源码六组回执与逐模块复核,,实际人工终端交互、控制台程序和OS资源释放
浏览器工作区,1,3.8,3,3,2.7,3.2,3.14,3.14,,,,,,,4.9,草稿：最终统一门禁尚未验证，不赋工程分或实机分,仅代码与隔离自动化交付；真实环境另评分,独立浏览器环境；自动化代理策略和实际参数核验；拒绝不合规CDP连接,每维分别核对需求/实现/异常反例/正式回归/可追溯证据；未关闭硬阻断不得进入4.9；不得用平均分抵消单点缺陷,implementation/phase2-browser-execution.md；implementation/phase2-webview-close.md,待同一源码六组回执与逐模块复核,,现场浏览器兼容性和GUI；不接管既有登录浏览器
自动化与消息连接器,1,3.4,3,3,2.5,3.1,3.00,3.00,,,,,,,4.9,草稿：最终统一门禁尚未验证，不赋工程分或实机分,仅代码与隔离自动化交付；真实环境另评分,真实流终态、持久任务/运行账本、配置CAS、重启unknown、可信连接器,每维分别核对需求/实现/异常反例/正式回归/可追溯证据；未关闭硬阻断不得进入4.9；不得用平均分抵消单点缺陷,implementation/phase2-system.md,待同一源码六组回执与逐模块复核,,实际连接器账号/消息与计划业务效果
组织与协作隔离,1,3.2,2.7,1.8,2.6,2.7,2.60,2.60,,,,,,,4.9,草稿：最终统一门禁尚未验证，不赋工程分或实机分,仅代码与隔离自动化交付；真实环境另评分,个人NULL与组织分区、可信绑定和已知资源ID守卫、切换撤权,每维分别核对需求/实现/异常反例/正式回归/可追溯证据；未关闭硬阻断不得进入4.9；不得用平均分抵消单点缺陷,implementation/phase2-projects.md,待同一源码六组回执与逐模块复核,,真实协作流程与账号组织政策配置
MRO 关联工作台,1,3.5,3,3,2.8,3.2,3.10,3.10,,,,,,,4.9,草稿：最终统一门禁尚未验证，不赋工程分或实机分,仅代码与隔离自动化交付；真实环境另评分,组织分区、当前手册SHA/约束、原子借还/批次/发布与幂等；16只读列表游标分页，顶层及嵌套续片每组100条、真实帧≤1MiB；游标绑定组织/过滤/业务摘要，变化须刷新；内部聚合10000条+1超限明确拒绝,每维分别核对需求/实现/异常反例/正式回归/可追溯证据；未关闭硬阻断不得进入4.9；不得用平均分抵消单点缺陷,implementation/phase2-mro-pagination.md；implementation/phase2-projects.md,待同一源码六组回执与逐模块复核,,实际维修领域规则由专业用户验证；工具不自动批准现场操作
