"任务ID","阶段","交付范围","证据ID","设计和夹具可开始","合并或退出依赖","责任角色","退出条件","实施状态"
"C04","M2","会议revision/局部更新/摘要源版本","CVM-04/06","B00后；B00本身无前置","B01","BE/FE","交错写不回退、不覆盖人工稿","已实现条件更新与人工内容保护；完整客户端revision仍待收口"
"C05","M2","录音manifest、补转写区间、保留源段","CVM-05/07/10","B00后；B00本身无前置","C02/C03/C04","BE/FE","600故障用例完整或标明缺口","已实现持久批次/ACK/补转写journal，专项通过；真中断待验"
"C06","M4","realtime历史与handoff幂等","CVM-08","B00后；B00本身无前置","C01/C03","BE/FE","20轮重连/退出历史一致","final持久化与handoff去重、20轮重开已集成验证；真实服务/设备待验"
"P01","M1/M2","项目唯一审计ID和完整payload幂等","CPA-01/02","B00后；B00本身无前置","B01","BE","100次更新与重放符合契约","已实现完整payload幂等/唯一审计及100次回归"
"P02","M1/M2","原子阶段完成与交付物门禁","CPA-03","B00后；B00本身无前置","P01/B02","BE/FE","跳步拒绝；故障零部分推进","文档阶段事务已实现并race；发布证据和文件digest校验待补"
"P03","M1/M2","原子阶段计划、节点/父计划状态机","CPA-07/08/09/20","B00后；B00本身无前置","P01","BE/FE","根节点/暂停/失败聚合/跨阶段正确","已实现阶段plan/root原子创建与状态聚合；专项/race通过"
"P04","M4","计划到现有agentrun执行及证据回执","CPA-19","B00后；B00本身无前置","P02/P03/E09","BE/QA","有真实run/产物验证才标执行完成","仅止血：移除协调状态假完成；真实plan executor待实现"
"P05","M1/M2","资产分片ACK、完成态、创建幂等/GC/分页","CPA-04/05/06/17/18","B00后；B00本身无前置","B01","BE/FE","一逻辑上传/创建仅一份成品","上传ACK/ready/0125持久创建幂等和重开/race/升级已验；孤儿GC及全分页待补"
"E01","M3","MCP生命周期/真实健康/撤权/硬池容量","EXT-02/05/13","B00后；B00本身无前置","B02","BE","删除立即不可调用；池上限硬约束","已实现MCP撤销/重连/真实health/池上限；定向/race通过"
"E02","M3","MCP认证租约、schema身份pin、版本锁","EXT-06/07/15","B00后；B00本身无前置","E01","BE/SEC","漂移/401/轮换/撤销矩阵通过","待实施或验收；见implementation/PRD-review-and-execution.md"
"E03","M3","后端真实技能导入与统一运行目录","EXT-03","B00后；B00本身无前置","B07/B01","BE/FE","导入到实际invoke贯通","真实固定归档/标准SKILL.md/扫描/草稿发布调用撤销/离线ACK恢复已集成验证；真外网和更广执行治理待验"
"E04","M3","技能客户端rev、删除冲突与版本展示","EXT-04","B00后；B00本身无前置","B01","BE/FE","A/B旧版本编辑/删除均冲突","已实现rev=0起始DTO+客户端版本CAS，SQLite/Bridge/FE专项通过"
"E05","M3","能力包服务端引用图与可恢复安装卸载","EXT-08/14","B00后；B00本身无前置","E01/E03/E04","BE/FE","共享依赖保留；清缓存/重启可恢复","待实施或验收；见implementation/PRD-review-and-execution.md"
"E06","M3","专家正文/版本/装备一致提交与解析","EXT-09","B00后；B00本身无前置","B01/E04","BE/FE","任意写失败不推进损坏版本","部分实现：正文先写/DB版本装备事务/损坏与scope拒绝；历史快照GC待补"
"E07","M3","知识current/source身份/有效期与查新","EXT-10","B00后；B00本身无前置","E06","BE","新版替代后旧版默认零命中","部分实现：只召回当前版本；完整来源更新/失效策略待补"
"E08","M3","严格引用验证、解析job、大小预算","EXT-11/12/16","B00后；B00本身无前置","E07","BE/FE","假引用拒绝；失败文档可查可重试","部分实现：引用scope/版本/chunk一致与失败状态提交；解析预算/隔离待补"
"E09","M4","复用命令/终端执行资源；验证浏览器网络与文件路径边界并修复实证偏差","CPA-13/14/15/21/22/23","B00后；B00本身无前置","B02","BE/QA","输出/取消有界；网络和文件拒绝零越界副作用","有界drain/异步callback硬预算/50ms关闭/UTF8已集成验证；Job/终端/Bridge输出阻塞/网络文件边界待补"
"S01","M3/M4","设置appliedRevision与前后端状态真值","SYS-09；跨模块","B00后；B00本身无前置","B04/E01","FE/BE","保存/生效/失败状态准确","待实施或验收；见implementation/PRD-review-and-execution.md"
"S02","M3/M4","统一缓存失效/cursor/generation与当前版本","跨模块；EXT-10","B00后；B00本身无前置","C04/E07/P02","FE/BE","切上下文与迟到回包零污染","待实施或验收；见implementation/PRD-review-and-execution.md"
"S03","M3/M4","分能力readiness、trace与审计自检","SYS-07/08","B00后；B00本身无前置","B01/E01","BE/QA","故障能定位模块与operation","部分实现：数据库真实readiness；审计原接线结论更正；分能力/trace待补"
"S04","M3/M4","DB+引用文件备份/恢复与启动对账","SYS-08","B00后；B00本身无前置","C05/P05/E06","BE/QA","旧库/损坏/中断恢复演练通过","待实施或验收；见implementation/PRD-review-and-execution.md"
"S05","M3/M4","同事可靠delivery/outbox与离线重试","SYS-05","B00后；B00本身无前置","B05/B01","BE/FE","每收件人ACK/重试不丢不重","待实施或验收；见implementation/PRD-review-and-execution.md"
"S06","M3/M4","组织scope与个人数据隔离","CPA-16","B00后；B00本身无前置","B02/P02","BE/SEC","解析失败不全量；已知ID越界拒绝","待实施或验收；见implementation/PRD-review-and-execution.md"
"S07","M3/M4","自动化/连接器/记忆/MRO补齐深度与场景","低置信模块","B00后；B00本身无前置","S02/S03/S06","QA/BE","真值/重复触发/来源失效矩阵通过","待实施或验收；见implementation/PRD-review-and-execution.md"
"S08","M3/M4","热点职责拆分、移除重复路径与文档更新","架构指标；SYS-10","B00后；B00本身无前置","G-fixes","TL/FE/BE","不改变已验收行为，依赖方向与接口清晰","待实施或验收；见implementation/PRD-review-and-execution.md"
"Q01","M5","全故障/契约/迁移/全库race持续门禁","全部","B00后；B00本身无前置","B00后建设；G-core后退出","QA/BE","未解决反例0，所有必需门禁通过","本轮3506 Go+1583 FE/契约/类型/构建/lint/vet/扫描通过，coverage52%；22skip与全库race/剩余缺陷待收口"
"Q02","M5","三语音/会议/桌面/DB/扩展及网络/文件边界真机矩阵","全部；CPA-21/23","B00后；B00本身无前置","G-core/Q01","QA","支持范围每条关键链有真实证据","待实施或验收；见implementation/PRD-review-and-execution.md"
"Q03","M5/M6","性能、72h稳定性与14天观察","可靠性","B00后；B00本身无前置","Q01/Q02/Q04","QA/TL","第10节指标逐项达标；M6完成逐模块复评分","待实施或验收；见implementation/PRD-review-and-execution.md"
"Q04","M5","单一候选发布流水线、签名与安装生命周期","SYS-10","B00后；B00本身无前置","Q01/Q02/S04","TL/QA","候选构建同commit安装与签名证据齐全，交Q03观察","待实施或验收；见implementation/PRD-review-and-execution.md"
